x,y,z
0.04,0.02,1.00
0.04,0.02,1.00
0.05,0.03,1.01
0.05,0.03,1.02
0.05,0.02,1.00
0.05,0.04,1.00
0.05,0.04,1.01
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.05,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.03,0.03,1.00
0.02,0.03,1.00
0.01,0.02,1.00
0.00,0.07,1.13
0.07,0.03,1.02
0.05,0.04,1.07
0.07,0.06,0.99
0.15,0.00,1.05
0.25,0.01,0.88
0.46,0.19,1.12
0.61,0.00,0.58
0.66,0.09,0.86
0.65,0.11,0.79
0.64,0.00,0.80
0.59,0.07,0.86
0.52,0.02,0.98
0.43,0.05,0.82
0.35,0.03,1.01
0.24,0.07,0.90
0.14,-0.01,1.17
0.09,0.03,1.06
0.04,0.07,0.98
0.03,0.02,0.99
0.01,0.04,1.00
0.04,0.01,0.96
0.04,0.06,1.03
0.09,0.00,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,0.99
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.02,0.04,1.01
0.03,0.00,1.02
0.06,0.03,1.06
0.17,0.07,1.01
0.18,0.12,1.10
0.36,0.19,1.00
0.58,0.08,0.74
0.68,0.13,0.90
0.71,0.18,0.59
0.73,0.11,0.63
0.71,0.18,0.68
0.74,0.16,0.69
0.73,0.16,0.61
0.72,0.18,0.65
0.75,0.14,0.63
0.70,0.21,0.59
0.64,0.21,0.70
0.53,0.15,0.88
0.46,0.11,0.82
0.38,0.23,0.88
0.25,0.09,0.93
0.13,0.11,1.05
0.10,0.06,1.01
0.07,0.08,1.03
0.05,0.09,1.01
0.05,0.04,1.01
0.04,0.06,0.98
0.05,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.02,1.00
0.04,-0.00,1.00
0.06,0.02,1.01
-0.07,0.03,1.01
0.03,0.05,1.01
0.25,0.16,1.13
0.36,0.03,0.89
0.35,0.11,0.84
0.60,0.12,0.89
0.66,0.05,0.83
0.65,0.08,0.85
0.68,0.07,0.79
0.73,0.12,0.68
0.69,0.09,0.75
0.73,0.05,0.78
0.71,0.09,0.69
0.71,0.14,0.68
0.64,0.09,0.82
0.65,0.12,0.48
0.44,0.09,0.87
0.40,0.13,0.85
0.21,0.09,0.97
0.11,0.01,1.09
0.07,0.07,0.96
0.05,0.06,1.02
0.04,0.05,0.97
0.06,0.04,1.00
0.03,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
