x,y,z
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.03,0.05,1.00
0.05,0.02,1.07
0.14,0.02,1.14
0.27,0.06,1.00
0.46,0.03,0.78
0.65,0.14,0.86
0.71,0.08,0.55
0.77,0.09,0.82
0.75,0.08,0.61
0.74,0.18,0.48
0.73,0.10,0.68
0.64,0.18,0.76
0.56,0.02,1.00
0.39,0.03,1.00
0.21,0.02,0.96
0.18,0.06,1.05
0.15,0.04,1.02
0.01,0.04,1.32
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.01
0.07,0.01,1.00
0.01,-0.00,1.08
0.09,-0.02,1.05
0.27,0.04,1.17
0.49,0.12,0.70
0.66,0.11,0.64
0.72,0.11,0.70
0.74,0.14,0.57
0.75,0.12,0.72
0.71,0.12,0.66
0.63,0.13,0.55
0.50,0.12,0.84
0.32,0.17,1.12
0.21,0.09,1.02
0.10,0.08,1.04
0.12,0.03,0.93
0.06,0.05,0.98
0.03,0.03,1.01
0.08,0.16,1.00
0.06,0.05,1.00
0.02,0.04,1.00
0.07,0.07,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.01
0.00,0.06,1.05
0.11,0.02,1.09
0.20,0.04,1.05
0.39,0.00,0.80
0.54,0.14,0.76
0.68,0.08,0.68
0.67,0.18,0.68
0.69,0.16,0.69
0.67,0.25,0.73
0.62,0.19,0.68
0.51,0.07,0.79
0.39,0.23,1.03
0.26,0.08,0.91
0.24,0.14,1.00
0.14,0.06,1.03
0.05,0.01,1.08
-0.02,0.07,1.02
0.04,0.01,0.99
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.03,0.04,1.01
0.05,0.11,1.16
0.11,0.13,1.17
0.24,0.11,1.07
0.41,0.08,0.92
0.65,0.05,0.66
0.70,0.13,0.63
0.72,0.14,0.43
0.72,0.13,0.73
0.66,0.20,0.75
0.63,0.19,0.70
0.57,0.25,0.76
0.50,0.15,0.77
0.43,0.14,0.95
0.34,0.15,0.92
0.25,0.12,0.98
0.16,0.09,1.00
0.11,0.05,1.10
0.07,0.09,0.98
0.05,0.06,1.00
0.02,0.04,1.01
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
-0.01,0.00,1.05
0.00,0.02,1.03
0.09,0.09,1.12
0.23,0.17,1.14
0.42,0.03,0.83
0.67,0.10,0.62
0.75,0.11,0.70
0.79,0.14,0.47
0.84,0.06,0.74
0.82,0.15,0.61
0.77,0.12,0.44
0.72,0.02,0.68
0.64,0.12,0.86
0.50,0.12,0.84
0.40,0.10,0.95
0.31,0.14,0.99
0.23,0.11,1.00
0.11,0.06,1.12
0.01,0.05,1.25
0.04,0.05,0.98
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.05,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.06,0.02,1.00
0.01,0.00,1.04
0.12,0.05,1.18
0.29,0.03,1.14
0.38,0.07,0.68
0.77,0.05,0.37
0.84,0.22,0.42
0.87,0.04,0.60
0.81,0.18,0.54
0.73,0.13,0.43
0.68,0.16,0.77
0.57,0.07,0.90
0.46,0.07,0.84
0.33,0.00,0.96
0.19,0.11,1.05
0.07,0.04,1.14
0.07,0.02,0.98
0.03,0.05,1.01
0.05,0.06,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.04,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.01
0.04,0.05,1.00
0.04,0.05,1.00
0.04,0.05,1.00
