x,y,z
0.03,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.01,0.01,1.00
0.05,0.02,1.00
0.04,0.03,1.00
0.05,-0.02,1.02
0.05,-0.27,0.93
0.04,-0.46,0.91
-0.01,-0.64,0.76
0.05,-0.62,0.63
0.08,-0.73,0.70
0.07,-0.68,0.54
0.07,-0.72,0.63
0.07,-0.70,0.62
0.05,-0.73,0.64
0.12,-0.52,0.88
0.08,-0.48,0.66
0.02,-0.25,0.95
0.03,-0.16,1.00
0.00,-0.20,1.02
0.02,-0.09,0.92
0.01,-0.06,1.06
0.02,0.03,1.01
0.04,0.02,0.99
0.02,-0.00,1.00
0.09,0.04,0.98
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.03,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.03,0.02,1.00
0.04,0.02,1.00
0.03,-0.04,1.03
0.02,-0.13,0.94
0.05,-0.44,0.93
0.11,-0.52,0.78
0.07,-0.61,0.62
0.03,-0.78,0.81
0.04,-0.75,0.59
-0.00,-0.76,0.63
-0.03,-0.78,0.57
-0.02,-0.80,0.56
-0.01,-0.80,0.61
-0.00,-0.78,0.58
-0.00,-0.87,0.61
-0.02,-0.46,0.78
-0.04,-0.34,0.88
0.07,0.05,1.01
-0.02,-0.07,0.95
-0.01,0.11,0.96
-0.01,0.07,0.86
0.04,0.01,1.00
0.00,-0.04,1.00
0.04,0.02,1.00
0.03,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.02,1.00
