x,y,z
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.02,1.00
0.05,0.01,1.00
0.04,0.01,1.00
0.04,0.00,1.18
0.13,-0.13,0.91
0.14,0.16,0.96
0.11,0.10,0.86
0.15,0.23,0.86
0.10,0.51,0.95
0.17,0.24,1.04
0.10,0.29,0.87
0.12,0.24,1.01
0.12,0.29,0.93
0.13,0.29,0.96
0.13,0.36,0.96
0.22,0.21,0.96
0.20,0.22,0.88
0.16,0.07,0.99
0.12,0.13,0.95
0.05,0.13,1.04
0.07,0.01,1.04
0.03,0.10,0.96
0.02,0.09,1.01
0.03,0.02,0.98
0.05,0.02,0.99
0.05,0.05,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.02,0.03,1.00
0.03,0.00,0.98
0.00,-0.04,1.23
0.11,-0.12,0.89
0.15,0.00,1.00
0.03,0.34,0.82
0.16,0.00,0.96
0.15,0.37,0.98
0.18,0.11,1.14
0.16,0.25,0.94
0.15,0.20,0.99
0.17,0.25,0.99
0.19,0.26,1.02
0.15,0.36,0.91
0.19,0.12,1.00
0.09,0.27,0.87
0.00,0.08,1.09
0.04,0.11,1.00
0.01,0.11,0.93
0.01,0.06,1.00
0.05,0.05,1.00
0.02,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.04,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.09,0.04,1.00
0.04,0.04,1.00
0.04,0.00,0.99
-0.04,0.02,1.08
0.11,0.07,1.04
0.16,-0.03,1.00
0.19,0.02,1.00
0.16,0.04,0.97
0.11,0.35,0.96
0.13,0.14,0.99
0.14,0.35,1.11
0.11,0.33,0.86
0.12,0.27,0.95
0.11,0.28,0.98
0.11,0.36,1.04
0.18,0.18,1.02
0.18,0.20,0.96
0.14,0.11,0.78
0.11,0.12,0.91
0.09,0.10,1.05
0.03,0.10,0.98
0.06,0.02,1.14
0.03,0.01,0.98
-0.02,-0.03,1.01
0.03,0.03,1.01
0.04,0.03,1.00
0.03,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.01,0.02,1.00
0.02,0.02,0.98
-0.00,-0.05,1.09
0.10,-0.13,0.93
0.05,-0.14,0.91
0.13,0.10,1.05
-0.03,0.57,0.92
0.11,0.13,0.80
0.08,0.34,1.19
0.09,0.25,1.01
0.12,0.31,1.00
0.16,0.41,1.01
0.20,0.23,0.95
0.15,0.30,0.91
0.19,0.01,0.95
0.07,0.04,1.13
0.09,0.17,1.00
0.07,0.09,1.00
0.04,0.05,1.00
0.05,0.04,1.00
0.10,0.10,1.00
0.05,0.04,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.05,0.03,1.00
0.04,0.04,1.01
0.02,-0.05,0.95
0.01,-0.02,0.99
-0.03,0.02,1.09
0.08,0.02,0.95
0.14,0.02,0.91
0.09,0.03,1.02
0.14,-0.07,0.98
0.09,-0.05,1.12
0.10,-0.12,0.85
0.06,0.14,0.97
-0.01,0.39,1.05
0.04,0.26,0.94
0.02,0.28,1.06
0.04,0.29,0.94
0.03,0.29,0.93
0.09,0.31,1.00
0.14,0.17,0.86
0.10,0.14,0.95
0.03,-0.07,1.03
0.08,0.02,1.14
0.07,0.09,0.91
0.05,-0.01,1.08
0.04,0.00,0.96
0.05,-0.00,0.97
0.03,0.04,1.00
0.03,0.03,1.00
0.04,0.02,1.00
0.06,0.07,1.04
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.04,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.04,1.00
0.00,0.03,1.02
0.05,0.02,1.01
-0.00,0.01,1.25
0.11,-0.06,1.00
0.12,-0.06,0.93
0.14,-0.02,1.00
0.08,-0.11,0.96
0.11,0.46,0.99
0.06,0.27,0.68
0.11,0.28,1.12
0.11,0.27,0.99
0.06,0.24,0.93
0.05,0.28,0.82
0.07,0.44,1.00
0.05,0.29,0.88
0.04,0.07,1.14
0.09,0.08,0.86
0.10,0.10,0.98
0.09,0.10,1.09
0.07,0.02,1.03
0.06,0.12,1.00
0.06,0.03,1.00
0.02,0.07,1.01
0.05,0.01,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.01
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.02,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.04,0.03,1.00
0.05,0.04,1.00
0.05,0.04,1.00
0.03,0.02,1.00
0.03,0.03,1.06
0.05,0.06,1.00
