State Name,,District Name,,Market Name,,Variety,,Group,,Arrivals (Tonnes),,Min Price (Rs./Quintal),,Max Price (Rs./Quintal),,Modal Price (Rs./Quintal),,Reported Date,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,9.00,,300,,600,,450,,15 Nov 2016,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,78.00,,500,,1200,,800,,23 Aug 2007,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,80.00,,300,,900,,650,,08 Jan 2004,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,80.00,,500,,4400,,2100,,17 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,97.00,,500,,1100,,930,,26 Aug 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,101.00,,1100,,2400,,2200,,26 Apr 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,107.00,,200,,550,,450,,03 Feb 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,108.00,,200,,550,,450,,08 Feb 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,125.00,,800,,950,,880,,17 Aug 2007,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,126.00,,150,,1100,,625,,02 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,130.00,,100,,350,,330,,24 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,130.00,,200,,1200,,750,,28 Jan 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,133.00,,500,,3000,,1500,,31 Dec 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,134.00,,300,,800,,550,,19 Mar 2018,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,139.00,,600,,4750,,2200,,17 Oct 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,142.00,,1000,,5000,,2100,,25 Aug 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,143.00,,450,,1450,,850,,15 Jan 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,145.00,,200,,1100,,550,,13 Feb 2007,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,147.00,,1000,,2500,,1500,,05 Sep 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,154.00,,300,,1850,,1150,,01 Feb 2011,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,157.00,,100,,800,,550,,18 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,157.00,,200,,600,,500,,18 Jan 2012,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,159.00,,500,,2350,,1300,,06 Jan 2022,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,164.00,,500,,4500,,2000,,11 Nov 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,168.00,,400,,2400,,950,,15 Sep 2023,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,170.00,,250,,670,,450,,03 Apr 2014,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,175.00,,100,,1220,,850,,01 Oct 2009,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,179.00,,150,,1000,,630,,16 Feb 2010,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,179.00,,200,,2500,,1350,,20 Nov 2021,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,180.00,,130,,450,,400,,07 Jan 2005,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,184.00,,100,,520,,370,,17 Jan 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,185.00,,800,,2150,,1400,,05 Sep 2017,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,186.00,,300,,1450,,850,,22 Feb 2013,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,187.00,,250,,800,,500,,04 Jun 2020,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,189.00,,1000,,2400,,1500,,06 Sep 2019,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,192.00,,1700,,2600,,2100,,31 Jul 2015,
Karnataka,,Dharwad,,Hubli (Amaragol),,Local,,Vegetables,,193.00,,350,,1750,,900,,30 Dec 2015,
