selling_price,full_name,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
1.2,Maruti Alto Std,2012,Individual,120000,Petrol,Manual,19.7,796,46.3,5
5.5,Hyundai Grand i10 Asta,2016,Individual,20000,Petrol,Manual,18.9,1197,82,5
2.15,Hyundai i20 Asta,2010,Individual,60000,Petrol,Manual,17,1197,80,5
2.26,Maruti Alto K10 2010-2014 VXI,2012,Individual,37000,Petrol,Manual,20.92,998,67.1,5
5.7,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,2015,Dealer,30000,Diesel,Manual,22.77,1498,98.59,5
3.5,Maruti Wagon R VXI BS IV,2013,Individual,35000,Petrol,Manual,18.9,998,67.1,5
3.15,Hyundai i10 Sportz 1.2,2013,Dealer,40000,Petrol,Manual,20.36,1197,78.9,5
4.1,Maruti Wagon R VXI,2018,Dealer,17512,Petrol,Manual,20.51,998,67.04,5
10.5,Hyundai Venue SX Plus Turbo DCT BSIV,2019,Individual,20000,Petrol,Automatic,18.15,998,118.35,5
5.75,Mahindra TUV 300 T6,2017,Dealer,70000,Diesel,Manual,18.49,1493,100,7
3.05,Tata Indigo LX (TDI) BS-III,2015,Individual,50000,Diesel,Manual,19.09,1405,69.01,5
11.5,Renault Captur Platine Dual Tone Diesel,2019,Individual,18000,Diesel,Manual,20.37,1461,108.49,5
5.11,Maruti Swift VXI with ABS,2017,Dealer,28321,Petrol,Manual,16.6,1197,85,5
4.1,Nissan Micra XL CVT,2016,Dealer,27000,Petrol,Automatic,19.34,1198,76,5
4.25,Hyundai Verna 1.6 SX,2013,Dealer,65278,Diesel,Manual,22.32,1582,126.32,5
7.5,Renault Duster 110PS Diesel RxL Explore,2016,Individual,50000,Diesel,Manual,19.64,1461,108.45,5
32.5,Mini Cooper Cooper S,2017,Dealer,6000,Petrol,Automatic,14.41,1998,189.08,5
6.5,Maruti Ciaz ZDi Plus SHVS,2016,Dealer,76000,Diesel,Manual,28.09,1248,88.5,5
6.27,Maruti Swift VDI BSIV,2016,Individual,20000,Diesel,Manual,25.2,1248,74,5
14.25,Mercedes-Benz C-Class C 220 CDI Avantgarde,2014,Dealer,65000,Diesel,Automatic,19.27,2143,170,5
4.25,Maruti Swift VDI,2014,Dealer,62200,Diesel,Manual,28.4,1248,74,5
6.05,Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,Individual,110000,Diesel,Manual,12.99,2494,100.6,8
6,Maruti Baleno Zeta 1.2,2015,Individual,20000,Petrol,Manual,21.4,1197,83.1,5
5.75,Maruti Swift Dzire VXI,2016,Individual,40000,Petrol,Manual,20.85,1197,83.14,5
2.6,Fiat Grande Punto 1.3 Emotion Pack (Diesel),2012,Individual,97000,Diesel,Manual,17.8,1248,76,5
4.25,Volkswagen Vento 1.6 Comfortline BSIV,2013,Dealer,47000,Petrol,Manual,16.09,1598,103.2,5
2.3,Maruti Alto K10 2010-2014 VXI,2013,Dealer,25000,Petrol,Manual,20.92,998,67.1,5
12.25,Hyundai Creta 1.6 CRDi SX,2019,Individual,15000,Diesel,Manual,19.67,1582,126.2,5
3.75,Mahindra Xylo H9,2010,Dealer,56823,Diesel,Manual,14.02,2179,118.3,8
7.5,Honda City i VTEC VX,2015,Individual,50000,Petrol,Manual,17.4,1497,117.3,5
3.5,Mahindra Bolero SLE BSIII,2011,Individual,25000,Diesel,Manual,13.6,2523,63,7
6,Maruti Swift Dzire VDI,2015,Individual,90000,Diesel,Manual,26.59,1248,74,5
3.9,Maruti Swift Dzire LDI,2013,Dealer,45000,Diesel,Manual,26.59,1248,74,5
1.45,Honda City 2017-2020 GXi,2007,Dealer,77253,Petrol,Manual,17.7,1497,78,5
7,Hyundai i20 Active 1.2 SX,2018,Individual,25000,Petrol,Manual,17.19,1197,81.86,5
11.5,Toyota Fortuner 4x2 Manual,2013,Individual,110000,Diesel,Manual,13,2982,168.5,7
3.4,Renault KWID Climber 1.0 MT,2017,Individual,30000,Petrol,Manual,23.01,999,67,5
4.65,Honda Amaze S Petrol,2016,Dealer,39993,Petrol,Manual,18.6,1199,88.76,5
1.25,Hyundai Santro Xing GLS,2009,Individual,80000,Petrol,Manual,17.92,1086,62.1,5
6,Mahindra XUV500 W8 2WD,2012,Individual,185000,Diesel,Manual,15.1,2179,140,7
3.8,Maruti Swift Dzire VDI,2013,Individual,90000,Diesel,Manual,23.4,1248,74,5
4,Mahindra Xylo E8,2009,Individual,60000,Diesel,Manual,14,2498,112,8
3,Chevrolet Sail 1.3 Base,2014,Individual,90000,Diesel,Manual,22.1,1248,74,5
5,Hyundai Xcent 1.2 Kappa SX,2015,Individual,20000,Petrol,Manual,19.1,1197,82,5
8.5,Hyundai i20 1.4 Asta Option,2018,Individual,15000,Diesel,Manual,22.54,1396,88.73,5
5.98,Hyundai i20 1.2 Magna Executive,2018,Individual,40000,Petrol,Manual,18.6,1197,81.83,5
7,Honda City i VTEC CVT SV,2015,Dealer,31180,Petrol,Automatic,18,1497,117.3,5
9,Mahindra TUV 300 mHAWK100 T8 AMT,2018,Individual,40000,Diesel,Automatic,18.49,1493,100,7
0.75,Maruti 800 Std,2004,Individual,50000,Petrol,Manual,16.1,796,37,4
3,Tata Indigo LS TDI BSIII,2015,Individual,58000,Diesel,Manual,19.09,1396,69,5
4.1,Maruti Swift Dzire ZDI,2014,Dealer,56000,Diesel,Manual,23.4,1248,74,5
3,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2011,Individual,93000,Diesel,Manual,20.5,1248,91.7,5
2.25,Ambassador Avigo 1800 ISZ MPFI AC,2010,Dealer,86000,Petrol,Manual,12.2,1817,75,5
3,Maruti Swift VDI BSIV,2011,Individual,120000,Diesel,Manual,17.8,1248,5,5
5.9,Maruti Baleno Zeta Automatic,2016,Dealer,52427,Petrol,Automatic,21.4,1197,83.1,5
8.5,Mahindra Bolero B6,2020,Individual,40000,Diesel,Manual,21,1498,74.96,7
1.08,Tata Nano Cx BSIV,2011,Individual,70000,Petrol,Manual,26,624,35,4
5.5,Mahindra KUV100 NXT G80 K8 5Str BSIV,2018,Individual,17000,Petrol,Manual,18.15,1198,82,5
3.25,Toyota Etios G,2012,Dealer,54325,Petrol,Manual,17.6,1496,88.73,5
6.25,Maruti Baleno Vxi - BSIII,2016,Dealer,22000,Petrol,Manual,15.4,1590,94,5
6,Maruti Swift Dzire ZXI,2016,Individual,54000,Petrol,Manual,20.85,1197,83.14,5
4.45,Maruti Wagon R LXI Optional,2019,Individual,10000,Petrol,Manual,20.51,998,67.04,5
5.3,Maruti Ignis 1.2 Delta BSIV,2019,Individual,20000,Petrol,Manual,20.89,1197,81.8,5
3.85,Toyota Corolla Altis GL,2011,Dealer,61000,Petrol,Manual,14.53,1798,138.1,5
4.1,Maruti Wagon R LXI CNG,2018,Trustmark Dealer,53237,CNG,Manual,26.6,998,58.16,5
3.5,Datsun RediGO Gold 1.0,2018,Individual,27263,Petrol,Manual,22.5,999,68,5
2.65,Tata Indigo eLX BS IV,2014,Individual,90000,Diesel,Manual,25,1396,69.01,5
5.2,Hyundai Verna 1.6 CRDI,2014,Individual,110000,Diesel,Manual,22.32,1582,126.3,5
7.5,Hyundai i20 Asta Option 1.4 CRDi,2016,Individual,70000,Diesel,Manual,22.54,1396,88.73,5
5.6,Maruti Swift Dzire VDI,2017,Individual,70000,Diesel,Manual,26.59,1248,74,5
2,Tata Vista TDI LS,2014,Individual,190000,Diesel,Manual,19.1,1405,70,5
6,Hyundai Xcent 1.2 CRDi SX,2017,Individual,40000,Diesel,Manual,25.4,1186,73.97,5
6.55,Hyundai i20 1.2 Spotz,2019,Dealer,39000,Petrol,Manual,18.6,1197,81.83,5
1.25,Hyundai Santro Xing XE,2007,Dealer,56000,Petrol,Manual,17.8,1086,63,5
4.25,Toyota Corolla Altis 1.8 VL AT,2009,Dealer,58000,Petrol,Automatic,14.53,1794,138.1,5
2.2,Maruti Omni E MPI STD BS IV,2017,Individual,40000,Petrol,Manual,16.8,796,34.2,8
5.5,Hyundai i20 1.2 Spotz,2018,Individual,34000,Petrol,Manual,18.6,1197,81.83,5
11.5,Mahindra Scorpio 1.99 S10,2017,Individual,50000,Diesel,Manual,15.4,1997,120,7
5,Volkswagen Vento Diesel Highline,2012,Individual,77400,Diesel,Manual,20.54,1598,103.6,5
9.9,Mahindra Marazzo M2 BSIV,2019,Individual,36000,Diesel,Manual,17.3,1497,121,7
5.51,Hyundai Verna SX Opt Diesel,2013,Dealer,47876,Diesel,Manual,25,1493,113.42,5
16.5,Mahindra XUV500 W11 Option AT BSIV,2018,Individual,21500,Diesel,Automatic,15.1,2179,152.87,7
3.5,Hyundai Grand i10 CRDi Magna,2015,Dealer,75000,Diesel,Manual,24,1120,70,5
5,Ford Aspire 1.2 Ti-VCT Titanium,2017,Dealer,58000,Petrol,Manual,18.16,1196,86.8,5
5.75,Maruti Swift Dzire VXI 1.2,2018,Individual,30000,Petrol,Manual,21.21,1197,81.8,5
5.45,Hyundai Grand i10 1.2 CRDi Asta,2018,Individual,50000,Diesel,Manual,24,1186,73.97,5
5.25,Ford Figo 1.2P Titanium MT,2017,Trustmark Dealer,19093,Petrol,Manual,18.16,1196,86.8,5
4,Honda Amaze E i-Vtech,2014,Individual,50000,Petrol,Manual,18,1198,86.7,5
1.55,Maruti Wagon R LXI BSIII,2006,Dealer,37000,Petrol,Manual,14,1061,64,5
5.4,Mahindra Supro VX 8 Str,2019,Individual,3888,Diesel,Manual,23.5,909,45,8
5.45,Maruti Swift Dzire VDI,2016,Dealer,47000,Diesel,Manual,26.59,1248,74,5
5.45,Honda City V MT,2013,Individual,70000,Petrol,Manual,16.8,1497,116.3,5
2.4,Renault KWID RXL,2016,Individual,25000,Petrol,Manual,25.17,799,53.3,5
7.25,Maruti Vitara Brezza LDi Option,2018,Dealer,26000,Diesel,Manual,24.3,1248,88.5,5
4.8,Ford Aspire 1.2 Ti-VCT Titanium Opt,2017,Individual,30000,Petrol,Manual,18.16,1196,86.8,5
3.75,Hyundai i20 Magna Optional 1.2,2013,Individual,15000,Petrol,Manual,18.5,1197,82.9,5
2.25,Maruti Swift VDi BSIII W/ ABS,2011,Individual,160000,Diesel,Manual,17.8,1248,75,5
4,Tata Tiago 1.2 Revotron XZ,2017,Individual,32100,Petrol,Manual,23.84,1199,84,5
5.5,Hyundai i20 Magna Optional 1.2,2016,Dealer,22000,Petrol,Manual,18.5,1197,82.9,5
10.5,Mahindra Scorpio S10 7 Seater,2016,Dealer,44000,Diesel,Manual,15.4,2179,120,7
4.5,Volkswagen Polo 1.2 MPI Trendline,2016,Dealer,78000,Petrol,Manual,18.78,1198,74,5
7.75,Mercedes-Benz C-Class C 200 CGI Elegance,2012,Dealer,74352,Petrol,Automatic,11.74,1796,186,5
3.5,Maruti Wagon R VXI,2014,Individual,37000,Petrol,Manual,20.51,998,67.04,5
5.5,Honda City i DTEC VX Option,2014,Dealer,69000,Diesel,Manual,25.1,1498,98.6,5
10.8,Kia Seltos HTK Plus G,2019,Individual,12120,Petrol,Manual,16.8,1497,113.4,5
5.75,Maruti Baleno Delta,2016,Dealer,52000,Petrol,Manual,21.01,1197,81.8,5
9.5,Toyota Innova 2.5 G (Diesel) 8 Seater,2016,Individual,120000,Diesel,Manual,12.99,2494,100.6,8
2.3,Maruti Alto 800 LXI,2013,Individual,55000,Petrol,Manual,22.74,796,47.3,5
2.7,Hyundai i20 1.4 CRDi Magna,2011,Individual,160000,Diesel,Manual,21.9,1396,90,5
1.65,Chevrolet Beat Diesel LS,2012,Dealer,42000,Diesel,Manual,25.44,936,56.3,5
1.3,Ford Figo Petrol EXI,2011,Individual,40000,Petrol,Manual,15.6,1196,70,5
3.7,Maruti Swift Dzire VXI,2012,Dealer,46000,Petrol,Manual,19.1,1197,85.8,5
5.7,Maruti Baleno Delta 1.2,2017,Dealer,25000,Petrol,Manual,21.4,1197,83.1,5
3.9,Toyota Etios GD,2015,Individual,240000,Diesel,Manual,23.59,1364,67.05,5
3.65,Volkswagen Polo Diesel Comfortline 1.2L,2013,Dealer,90000,Diesel,Manual,22.07,1199,73.9,5
2.8,Hyundai i20 Magna,2012,Dealer,49566,Petrol,Manual,18.5,1197,82.85,5
12.5,Hyundai Verna CRDi 1.6 AT SX Option,2018,Dealer,14000,Diesel,Automatic,22,1582,126.2,5
