year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
2013.0,80000,20.54,1598.0,103.6,10.0,5.540305519053876,3.775,1,0,1,0,0,0,1,1,0
2010.0,97547,16.07,1995.0,181.0,13.0,17.34901656314698,10.92375,0,0,1,0,0,0,0,1,0
2018.0,74000,27.39,1248.0,74.0,5.0,4.684721460176991,6.882857142857143,1,0,1,0,0,0,1,1,0
2019.0,15000,23.84,1199.0,84.0,4.0,4.381194170957776,5.6125,1,0,0,0,0,1,1,1,0
2008.0,110000,13.5,1799.0,130.0,15.0,5.9799016301292856,2.8405882352941174,1,0,0,0,0,1,1,1,0
2011.0,103000,14.3,1968.0,167.7,12.0,5.540305519053876,7.75,0,0,1,0,0,0,0,1,0
2014.0,150000,19.01,1461.0,108.45,9.0,4.606650943396226,5.129428571428572,1,0,1,0,0,0,1,1,0
2015.0,67897,26.0,1498.0,98.6,8.0,5.9799016301292856,5.963454545454546,0,0,1,0,0,0,1,1,0
2002.0,54000,19.7,796.0,46.3,21.0,4.684721460176991,1.184,0,0,0,0,0,1,1,1,0
2013.0,68782,23.57,1396.0,70.0,10.0,4.381194170957776,2.183529411764706,0,0,1,0,0,0,1,1,0
2016.0,50000,22.74,796.0,47.3,7.0,4.684721460176991,2.646137566137566,1,0,0,0,0,1,1,1,0
2014.0,120000,13.58,2499.0,72.4,9.0,2.7236206896551725,4.36,1,0,1,0,0,0,1,0,1
2016.0,31488,24.7,796.0,47.3,7.0,4.684721460176991,2.646137566137566,0,0,0,0,0,1,1,1,0
2015.0,22000,18.0,1198.0,86.7,8.0,5.9799016301292856,4.386666666666667,0,0,0,0,0,1,1,1,0
2019.0,15000,21.79,998.0,67.05,4.0,4.684721460176991,3.329634146341463,1,0,0,0,0,1,1,1,0
2017.0,36000,23.9,1582.0,126.2,6.0,5.4588194834362715,6.976,0,0,1,0,0,0,1,1,0
2019.0,25000,21.4,1197.0,83.1,4.0,4.684721460176991,6.055135135135135,1,0,0,0,0,1,1,1,0
2014.0,37540,16.93,1197.0,103.2,9.0,5.540305519053876,6.132,0,0,0,0,0,1,0,1,0
2018.0,15000,21.5,1497.0,108.5,5.0,4.381194170957776,8.8275,1,0,1,0,0,0,1,1,0
2009.0,86000,13.5,1799.0,130.0,14.0,5.9799016301292856,2.8991666666666664,1,0,0,0,0,1,1,1,0
2014.0,51000,16.02,1373.0,93.7,9.0,4.684721460176991,6.090999999999999,0,0,0,0,0,1,1,0,1
2016.0,40000,22.95,1248.0,74.0,7.0,4.381194170957776,4.683333333333334,1,0,1,0,0,0,1,1,0
2019.0,38280,15.29,1591.0,121.3,4.0,5.4588194834362715,8.56125,0,1,0,0,0,1,1,1,0
2019.0,64000,22.77,1498.0,98.59,4.0,5.858258333333332,6.777575757575757,0,0,1,0,0,0,1,1,0
