,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
0,3.0,12669.0,9656.0,7561.0,214.0,2674.0,1338.0
1,3.0,7057.0,9810.0,9568.0,1762.0,3293.0,1776.0
2,3.0,6353.0,8808.0,,2405.0,3516.0,7844.0
3,3.0,13265.0,1196.0,4221.0,6404.0,507.0,1788.0
4,3.0,22615.0,5410.0,7198.0,3915.0,1777.0,5185.0
5,3.0,7579.0,4956.0,9426.0,1669.0,3321.0,2566.0
6,3.0,6006.0,11093.0,18881.0,1159.0,7425.0,2098.0
7,3.0,3366.0,5403.0,12974.0,4400.0,5977.0,1744.0
8,3.0,13146.0,1124.0,4523.0,1420.0,549.0,497.0
9,3.0,,12319.0,11757.0,287.0,3881.0,2931.0
10,3.0,21217.0,6208.0,,3095.0,6707.0,602.0
11,3.0,24653.0,9465.0,12091.0,294.0,5058.0,2168.0
12,3.0,1020.0,8816.0,12121.0,134.0,4508.0,1080.0
13,3.0,18601.0,6327.0,10099.0,2205.0,2767.0,3181.0
14,3.0,17546.0,4519.0,4602.0,1066.0,2259.0,2124.0
15,3.0,31276.0,1917.0,4469.0,9408.0,2381.0,4334.0
16,3.0,26373.0,36423.0,22019.0,5154.0,4337.0,16523.0
17,3.0,22647.0,9776.0,13792.0,2915.0,4482.0,5778.0
18,3.0,16165.0,4230.0,7595.0,201.0,4003.0,57.0
19,3.0,14276.0,803.0,3045.0,485.0,100.0,518.0
20,3.0,4113.0,20484.0,25957.0,1158.0,8604.0,
21,3.0,43088.0,2100.0,2609.0,1200.0,1107.0,823.0
22,3.0,18815.0,3610.0,11107.0,1148.0,2134.0,2963.0
23,3.0,21632.0,1318.0,2886.0,266.0,918.0,405.0
24,3.0,29729.0,4786.0,7326.0,6130.0,361.0,
25,3.0,688.0,5491.0,11091.0,833.0,4239.0,436.0
26,3.0,29955.0,4362.0,5428.0,1729.0,862.0,4626.0
27,3.0,15168.0,10556.0,12477.0,1920.0,6506.0,714.0
28,3.0,4591.0,15729.0,16709.0,33.0,6956.0,433.0
29,3.0,56159.0,555.0,902.0,10002.0,212.0,2916.0
30,,24025.0,4332.0,4757.0,9510.0,1145.0,5864.0
31,3.0,19176.0,3065.0,5956.0,2033.0,2575.0,2802.0
32,3.0,10850.0,7555.0,14961.0,188.0,6899.0,46.0
33,,630.0,11095.0,23998.0,787.0,9529.0,72.0
34,3.0,9670.0,7027.0,10471.0,541.0,4618.0,65.0
35,3.0,5181.0,22044.0,21531.0,1740.0,7353.0,4985.0
36,3.0,3103.0,14069.0,21955.0,1668.0,6792.0,1452.0
37,3.0,44466.0,54259.0,55571.0,7782.0,24171.0,6465.0
38,3.0,11519.0,6152.0,10868.0,584.0,5121.0,
39,3.0,4967.0,21412.0,28921.0,1798.0,13583.0,1163.0
40,3.0,40721.0,3916.0,5876.0,532.0,2587.0,1278.0
41,3.0,491.0,10473.0,11532.0,744.0,5611.0,224.0
42,3.0,27329.0,1449.0,1947.0,2436.0,204.0,1333.0
43,3.0,4098.0,29892.0,26866.0,2616.0,17740.0,1340.0
44,,5417.0,9933.0,10487.0,38.0,7572.0,1282.0
45,3.0,13779.0,1970.0,1648.0,596.0,227.0,436.0
46,3.0,35942.0,38369.0,59598.0,3254.0,26701.0,2017.0
47,3.0,9396.0,11601.0,15775.0,2896.0,7677.0,1295.0
48,3.0,85.0,20959.0,45828.0,36.0,24231.0,1423.0
49,3.0,19913.0,6759.0,13462.0,1256.0,5141.0,834.0
50,3.0,16705.0,2037.0,3202.0,10643.0,116.0,1365.0
51,3.0,18291.0,1266.0,21042.0,5373.0,4173.0,14472.0
52,3.0,19899.0,5332.0,8713.0,8132.0,764.0,648.0
53,3.0,8190.0,6343.0,9794.0,1285.0,1901.0,1780.0
54,3.0,20398.0,1137.0,3.0,4407.0,3.0,975.0
55,3.0,12205.0,12697.0,28540.0,869.0,12034.0,1009.0
56,3.0,219.0,9540.0,14403.0,283.0,7818.0,
57,3.0,10362.0,,11009.0,737.0,3537.0,2342.0
58,3.0,20874.0,1563.0,1783.0,2320.0,550.0,772.0
59,3.0,16117.0,46197.0,92780.0,1026.0,40827.0,2944.0
60,3.0,22925.0,73498.0,32114.0,987.0,20070.0,903.0
61,3.0,43265.0,5025.0,8117.0,6312.0,1579.0,14351.0
62,3.0,24904.0,3836.0,5330.0,3443.0,454.0,3178.0
63,3.0,12754.0,2762.0,2530.0,8693.0,,1117.0
64,3.0,9198.0,27472.0,32034.0,3232.0,18906.0,5130.0
65,3.0,11314.0,,2062.0,35009.0,71.0,2698.0
66,3.0,5626.0,12220.0,11323.0,206.0,5038.0,244.0
67,3.0,11594.0,7779.0,12144.0,3252.0,8035.0,3029.0
68,3.0,1420.0,10810.0,16267.0,1593.0,6766.0,1838.0
69,3.0,2932.0,6459.0,7677.0,2561.0,4573.0,1386.0
70,3.0,56082.0,3504.0,8906.0,18028.0,1480.0,2498.0
71,3.0,14100.0,,3445.0,1336.0,1491.0,548.0
72,3.0,15587.0,1014.0,3970.0,910.0,139.0,1378.0
73,3.0,1454.0,6337.0,10704.0,133.0,6830.0,1831.0
74,3.0,8797.0,10646.0,14886.0,2471.0,8969.0,1438.0
75,3.0,1531.0,8397.0,,247.0,2505.0,1236.0
76,3.0,1406.0,,28986.0,673.0,836.0,3.0
77,3.0,12579.0,11114.0,17569.0,805.0,6457.0,1519.0
78,3.0,19046.0,,2469.0,8853.0,483.0,2708.0
79,3.0,14438.0,2295.0,1733.0,3220.0,585.0,1561.0
80,3.0,18044.0,1080.0,2000.0,2555.0,118.0,1266.0
81,3.0,20049.0,1891.0,2362.0,5343.0,411.0,933.0
82,3.0,17160.0,1200.0,3412.0,2417.0,174.0,1136.0
83,3.0,11170.0,10769.0,8814.0,2194.0,1976.0,143.0
84,3.0,36050.0,1642.0,2961.0,4787.0,,1621.0
85,3.0,76237.0,3473.0,7102.0,16538.0,778.0,918.0
86,3.0,19219.0,1840.0,1658.0,8195.0,349.0,483.0
87,3.0,21465.0,7243.0,10685.0,880.0,2386.0,2749.0
88,3.0,,926.0,1510.0,1718.0,410.0,1819.0
89,3.0,14903.0,2032.0,2479.0,576.0,955.0,328.0
90,3.0,,8579.0,7030.0,4575.0,2447.0,1542.0
91,3.0,3087.0,8080.0,8282.0,661.0,721.0,36.0
92,3.0,13537.0,4257.0,5034.0,155.0,249.0,3271.0
93,3.0,17623.0,4280.0,7305.0,2279.0,960.0,2616.0
94,3.0,30379.0,13252.0,5189.0,321.0,51.0,1450.0
95,3.0,37036.0,7152.0,8253.0,2995.0,20.0,3.0
96,3.0,18827.0,3677.0,1988.0,118.0,516.0,201.0
97,3.0,22039.0,8384.0,34792.0,42.0,12591.0,4430.0
98,3.0,,1433.0,1651.0,800.0,113.0,1440.0
99,3.0,16225.0,1825.0,1765.0,853.0,170.0,1067.0
100,3.0,18840.0,1371.0,3135.0,3001.0,352.0,184.0
101,3.0,1989.0,10690.0,19460.0,233.0,11577.0,2153.0
102,3.0,3830.0,5291.0,14855.0,317.0,6694.0,3182.0
103,3.0,17773.0,1366.0,2474.0,3378.0,811.0,418.0
104,3.0,,6570.0,9618.0,930.0,4004.0,
105,3.0,355.0,7704.0,14682.0,398.0,8077.0,303.0
106,,1725.0,3651.0,12822.0,824.0,4424.0,2157.0
107,3.0,15177.0,2024.0,3810.0,2665.0,232.0,610.0
108,3.0,5531.0,15726.0,26870.0,2367.0,13726.0,446.0
109,3.0,5224.0,7603.0,,,3674.0,238.0
110,3.0,15615.0,12653.0,19858.0,4425.0,,2379.0
111,3.0,4822.0,6721.0,9170.0,993.0,4973.0,3637.0
112,3.0,5809.0,735.0,803.0,1393.0,79.0,429.0
113,3.0,260.0,8675.0,13430.0,1116.0,7015.0,323.0
114,3.0,200.0,25862.0,19816.0,651.0,8773.0,6250.0
115,3.0,,7677.0,19805.0,937.0,9836.0,716.0
116,3.0,2343.0,7845.0,11874.0,52.0,4196.0,1697.0
117,3.0,45640.0,6958.0,6536.0,7368.0,1532.0,230.0
118,3.0,12759.0,7330.0,4533.0,1752.0,,2631.0
119,3.0,12356.0,6036.0,8887.0,402.0,1382.0,2794.0
120,3.0,112151.0,29627.0,,16745.0,4948.0,8550.0
121,3.0,694.0,8533.0,10518.0,443.0,6907.0,156.0
122,3.0,36847.0,43950.0,20170.0,36534.0,239.0,47943.0
123,3.0,3009.0,521.0,854.0,3470.0,949.0,727.0
124,3.0,2438.0,8002.0,9819.0,6269.0,3459.0,3.0
125,3.0,8040.0,7639.0,11687.0,2758.0,6839.0,404.0
126,3.0,834.0,11577.0,11522.0,,4027.0,1856.0
127,3.0,16936.0,6250.0,1981.0,7332.0,118.0,64.0
128,3.0,13624.0,295.0,1381.0,890.0,43.0,84.0
129,3.0,180.0,3485.0,20292.0,959.0,5618.0,666.0
130,,17023.0,5139.0,5230.0,7888.0,330.0,1755.0
131,1.0,30624.0,7209.0,4897.0,,763.0,2876.0
132,1.0,2427.0,,10391.0,1127.0,4314.0,1468.0
133,1.0,3067.0,13240.0,23127.0,3941.0,9959.0,731.0
134,1.0,4484.0,14399.0,24708.0,,14235.0,1681.0
135,1.0,25203.0,11487.0,9490.0,5065.0,284.0,6854.0
136,1.0,1107.0,11711.0,23596.0,955.0,9265.0,710.0
137,1.0,6373.0,,950.0,878.0,288.0,285.0
138,1.0,5550.0,12729.0,16767.0,864.0,12420.0,797.0
139,1.0,18567.0,1895.0,1393.0,1801.0,244.0,2100.0
140,1.0,12119.0,28326.0,39694.0,4736.0,19410.0,2870.0
141,1.0,2362.0,6551.0,11364.0,913.0,5957.0,791.0
142,1.0,2806.0,10765.0,15538.0,1374.0,5828.0,2388.0
143,1.0,2532.0,16599.0,36486.0,179.0,13308.0,674.0
144,1.0,18044.0,1475.0,2046.0,2532.0,130.0,1158.0
145,1.0,18.0,7504.0,15205.0,1285.0,4797.0,6372.0
146,1.0,14755.0,899.0,1382.0,1765.0,56.0,749.0
147,1.0,5396.0,,10646.0,91.0,4167.0,239.0
148,1.0,20782.0,5921.0,9212.0,1759.0,2568.0,
149,1.0,25962.0,1780.0,3838.0,638.0,284.0,834.0
150,1.0,15603.0,2703.0,3833.0,4260.0,325.0,2563.0
151,1.0,18692.0,3838.0,593.0,4634.0,28.0,1215.0
152,1.0,47493.0,2567.0,3779.0,5243.0,828.0,2253.0
153,,22096.0,,7041.0,11422.0,343.0,2564.0
154,1.0,24929.0,1801.0,2475.0,2216.0,412.0,1047.0
155,1.0,18226.0,659.0,2914.0,3752.0,586.0,578.0
156,1.0,6202.0,7775.0,10817.0,1183.0,3143.0,1970.0
157,1.0,3062.0,6154.0,13916.0,230.0,8933.0,2784.0
158,1.0,13569.0,346.0,489.0,2077.0,44.0,659.0
159,1.0,15671.0,5279.0,,559.0,562.0,572.0
160,1.0,6134.0,23133.0,33586.0,6746.0,18594.0,5121.0
161,1.0,29526.0,7961.0,16966.0,432.0,363.0,1391.0
162,1.0,10379.0,17972.0,4748.0,4686.0,1547.0,3265.0
163,1.0,31614.0,,1495.0,3242.0,111.0,615.0
164,1.0,56083.0,4563.0,2124.0,6422.0,730.0,3321.0
165,1.0,53205.0,4959.0,7336.0,,967.0,818.0
166,,23257.0,1372.0,1677.0,982.0,429.0,
167,,1073.0,9679.0,15445.0,61.0,5980.0,
168,1.0,5909.0,23527.0,13699.0,10155.0,830.0,3636.0
169,1.0,572.0,9763.0,22182.0,2221.0,4882.0,2563.0
170,1.0,20893.0,1222.0,2576.0,3975.0,737.0,3628.0
171,1.0,11908.0,8053.0,19847.0,1069.0,6374.0,698.0
172,1.0,15218.0,,1138.0,2516.0,333.0,204.0
173,3.0,36817.0,3045.0,1493.0,4802.0,210.0,1824.0
174,3.0,27901.0,3749.0,6964.0,4479.0,603.0,2503.0
175,3.0,17360.0,6200.0,9694.0,1293.0,3620.0,1721.0
176,3.0,12238.0,7108.0,6235.0,1093.0,2328.0,2079.0
177,3.0,49063.0,3965.0,4252.0,5970.0,1041.0,1404.0
