,type,cleaned_message
0,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,0,ok lar joking wif u oni
2,1,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18
3,0,u dun say early hor u c already say
4,0,nah nt think goes usf lives around though
5,1,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send ï½150 rcv
6,0,even brother like speak treat like aids patent
7,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
8,1,winner valued network customer selected receivea ï½900 prize reward claim call 09061701461 claim code kl341 valid 12 hours
9,1,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030
10,0,gon na home soon nt want talk stuff anymore tonight k cried enough today
11,1,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
12,1,urgent 1 week free membership ï½100000 prize jackpot txt word claim 81010 c wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,0,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclubcom nqjkgighjjgcbl
16,0,oh k watching
17,0,eh u remember 2 spell name yes v naughty make v wet
18,0,fine thatï½ï½s way u feel thatï½ï½s way gota b
19,1,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 try wales scotland 4txtì¼120 poboxox36504w45wq 16
20,0,seriously spell name
21,0,iï½ï½ï½m going try 2 months ha ha joking
22,0,ï½_ pay first lar da stock comin
23,0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
24,0,ffffffffff alright way meet sooner
25,0,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
26,0,lol always convincing
27,0,catch bus frying egg make tea eating mom left dinner feel love
28,0,back amp packing car let know room
29,0,ahhh work vaguely remember feel like lol
30,0,wait still clear sure sarcastic x nt want live us
31,0,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wo nt go badly cheers
32,0,k tell anything
33,0,fear fainting housework quick cuppa
34,1,thanks subscription ringtone uk mobile charged ï½5month please confirm replying yes reply charged
35,0,yup ok go home look timings msg ï½_ xuhui going learn 2nd may lesson 8am
36,0,oops let know roommate done
37,0,see letter b car
38,0,anything lor u decide
39,0,hello saturday go texting see decided anything tomo trying invite anything
40,0,pls go ahead watts wanted sure great weekend abiola
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,1,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
43,0,seeing
44,0,great hope like man well endowed lt gt inches
45,0,calls messages missed calls
46,0,nt get hep b immunisation nigeria
47,0,fair enough anything going
48,0,yeah hopefully tyler ca nt could maybe ask around bit
49,0,u nt know stubborn nt even want go hospital kept telling mark weak sucker hospitals weak suckers
50,0,thinked first time saw class
51,0,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
52,0,k fyi x ride early tomorrow morning crashing place tonight
53,0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry nt nt give sorry offered sorry room embarassing
54,1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
55,0,know mallika sherawat yesterday find lt url gt
56,1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
57,0,sorry call later meeting
58,0,tell reached
59,0,yes gauti sehwag odi series
60,0,gon na pick 1 burger way home ca nt even move pain killing
61,0,ha ha ha good joke girls situation seekers
62,0,part checking iq
63,0,sorry roommates took forever ok come
64,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,1,valued customer pleased advise following recent review mob awarded ï½1500 bonus prize call 09066364589
66,0,today song dedicated day song u dedicate send ur valuable frnds first rply
67,1,urgent ur awarded complimentary trip eurodisinc trav aco entry41 ï½1000 claim txt dis 87121 186 ï½150 morefrmmob shracomorsglsuplt 10 ls1 3aj
68,1,hear new divorce barbie comes ken stuff
69,0,plane give month end
70,0,wah lucky man save money hee
71,0,finished class
72,0,hi babe im home wan na something xx
73,0,k k performed
74,0,u call
75,0,waiting machan call free
76,0,thats cool gentleman treat dignity respect
77,0,like peoples much shy pa
78,0,operate lt gt
79,0,still looking job much ta earn
80,0,sorry call later
81,0,k call ah
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop
85,0,call later nt network urgnt sms
86,0,real u getting yo need 2 tickets one jacket done already used multis
87,0,yes started send requests make pain came back back bed double coins factory got ta cash nitros
88,0,really still tonight babe
89,0,ela kano il download come wen ur free
90,0,yeah donï½ï½ï½t stand close tho youï½ï½ï½ll catch something
91,0,sorry pain ok meet another night spent late afternoon casualty means nt done stuff42moro includes time sheets sorry
92,0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling
93,1,please call customer service representative 0800 169 6031 10am9pm guaranteed ï½1000 cash ï½5000 prize
94,0,havent planning buy later check already lido got 530 show e afternoon u finish work already
95,1,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
96,0,watching telugu movie wat abt u
97,0,see finish loads loans pay
98,0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
99,0,please nt text anymore nothing else say
100,0,okay name ur price long legal wen pick u ave x ams xx
101,0,still looking car buy gone 4the driving test yet
102,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
103,0,wow right nt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
104,0,umma life vava umma love lot dear
105,0,thanks lot wishes birthday thanks making birthday truly memorable
106,0,aight hit get cash
107,0,would ip address test considering computer nt minecraft server
108,0,know grumpy old people mom like better lying always one play jokes
109,0,dont worry guess busy
110,0,plural noun research
111,0,going dinnermsg
112,0,ok wif cos like 2 try new things scared u dun like mah cos u said loud
113,1,gent trying contact last weekends draw shows ï½1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
114,0,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
115,0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went
116,1,winner u specially selected 2 receive ï½1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18
117,0,goodo yes must speak friday eggpotato ratio tortilla needed
118,0,hmm uncle informed paying school directly pls buy food
119,1,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
120,1,urgent mobile awarded ï½2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
121,0,new address apples pairs malarky
122,1,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
123,0,going sao mu today done 12
124,0,ï½ï½ predict wat time ï½_ finish buying
125,0,good stuff
126,0,know yetunde nt sent money yet sent text bother sending dont involve anything nt imposed anything first place apologise
127,0,room
128,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,0,k k much cost
130,0,home
131,0,dear call tmorrowpls accomodate
132,0,first answer question
133,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 ï½150 sp tyrone
134,1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31pmsg 150p
135,0,haf msn yijue hotmailcom
136,0,call meet
137,0,check rooms befor activities
138,1,rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try
139,0,got c lazy type forgot ï½_ lect saw pouch like v nice
140,0,k text way
141,0,sir waiting mail
142,0,swt thought nver get tired little things 4 lovable persons coz somtimes little things occupy biggest part hearts gud ni8
143,0,know pls open back
144,0,yes see ya dot
145,0,whats staff name taking class us
146,1,freemsg nt replied text randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
147,0,ummmawill call check inour life begin qatar pls pray hard
148,0,k deleted contact
149,0,sindu got job birla soft
150,0,wine flowing nevering
151,0,yup thk cine better cos need 2 go 2 plaza mah
152,0,ok ur typical reply
153,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
154,0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
155,0,aaooooright work
156,0,leaving house
157,0,hello love get interview today happy good boy think missing
158,1,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery
159,1,winner u specially selected 2 receive ï½1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810
160,0,keep safe need miss already envy everyone see real life
161,0,new car house parents new job hand
162,0,love excited day spend make happy
163,1,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468
164,1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
165,0,place ur points e cultures module already
166,1,urgent trying contact last weekends draw shows ï½900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
167,0,hi frnd best way avoid missunderstding wit beloved one
168,0,great escape fancy bridge needs lager see tomo
169,0,yes completely form clark also utter waste
170,0,sir need axis bank account bank address
171,0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
172,0,time coming later
173,0,bloody hell cant believe forgot surname mr ill give u clue spanish begins
174,0,well gon na finish bath good fine night
175,0,let know got money carlos make call
176,0,u still going mall
177,0,turns friends staying whole show wo nt back til lt gt feel free go ahead smoke lt gt worth
178,0,text doesnt reply let know log
179,0,hi spoke maneesha v like know satisfied experience reply toll free yes
180,0,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
181,0,lol u trust
182,0,ok gentleman treat dignity respect
183,0,guys close
184,0,going nothing greatbye
185,0,hello handsome finding job lazy working towards getting back net mummy boytoy miss
186,0,haha awesome minute
187,1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed ï½1000 cash ï½5000 prize
188,0,got xmas radio times get
189,0,jus reached home go bathe first sis using net tell u finishes k
190,1,unique enough find 30th august wwwareyouuniquecouk
191,0,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
192,0,hi finally completed course
193,0,stop however suggest stays someone able give ors every stool
194,0,hope settled new school year wishin gr8 day
195,0,gud mrng dear hav nice day
196,0,u got persons story
